rank,parent_name,headquarters,hqAddress,switchboardPhone,contactDomain,targetDepartment,keyContactRole,key_executive,segment,callingRegion,tradeLane,primary_bunkering_hubs,vessels_in_scope,strategy_tier,vlsfo_tonnes,mgo_tonnes,lng_tonnes,total_energy_mwh,actual_ghgie,compliance_balance_2025_tco2e,penalty_2025_y1_eur,penalty_2025_y2_eur,compliance_balance_2030_tco2e,penalty_2030_y1_eur,bio_lng_required_neg100_t,bio_lng_required_neg100_mwh,bio_lng_required_zero_t,client_savings_physical_eur,desk_margin_physical_eur,client_savings_pooling_eur,desk_margin_pooling_eur,outreachPitch,fleetCapability,lng_vessels_in_scope,conventional_vessels_in_scope,ets_exposure_2025_tco2,ets_exposure_2025_eur,ets_exposure_2026_eur,combined_regulatory_exposure_2025_eur
175,"Global & Maritime Services","Singapore, Singapore","Robinson Road 80, 068898 Singapore","+65 6 989 5001","globalandmariti.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","Chen van Dijk (Managing Director / Technical Superintendent)","Container Feeder / Short Sea",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",11,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33429,3707,0,424688,91.16,-2787.5,1789938,1968932,-8362.4,5369749,299.8,4090,635.5,1524088,61350,493750.5,83625,"With 11 vessels generating an annual FuelEU penalty exposure of €1.79M, Global & Maritime Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.49M in client savings.",CONVENTIONAL_ONLY,0,11,81187.8,5683146,8118775,7473084
176,"Universal Marine","Oslo / Bergen, Norway","Kirkegata 24, 0153 Oslo, Norway","+47 55 325 4293","universalmarine.com","Commercial Operations & Compliance Group","Managing Director & Head of Fleet","Marco Fischer (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33104,3992,0,424367,91.16,-2785.3,1788525,1967378,-8356,5365640,299.6,4086,635,1522935,61290,493360.5,83559,"With 8 vessels generating an annual FuelEU penalty exposure of €1.79M, Universal Marine can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.49M in client savings.",CONVENTIONAL_ONLY,0,8,81118.9,5678323,8111894,7466848
177,"Coastal & Sea Tankers","Genoa / Naples, Italy","Piazza Dante 7, 16121 Genoa, Italy","+39 010 706 7096","coastalandseata.com","Green Transition & Marine Fuels Desk","Head of Marine Fuel Procurement","Stavros Schmidt (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",11,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",34639,2200,0,420594,91.16,-2760.6,1772665,1949932,-8281.7,5317929,297,4050,629.3,1509415,60750,488986,82818,"With 11 vessels generating an annual FuelEU penalty exposure of €1.77M, Coastal & Sea Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.49M in client savings.",CONVENTIONAL_ONLY,0,11,80443.3,5631031,8044330,7403696
178,"Central Tankers","London, United Kingdom","Lombard Street 68, London EC3V 9LJ, United Kingdom","+44 20 540 3230","centraltankers.com","Commercial Operations & Compliance Group","Manager of Fuel Compliance & ESG","Philippe de Jong (Managing Director / Technical Superintendent)","Crude & Product Tanker",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",10,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33560,3180,0,419929,91.16,-2756.2,1769839,1946823,-8268.6,5309517,296.5,4044,628.3,1506979,60660,488206,82686,"With 10 vessels generating an annual FuelEU penalty exposure of €1.77M, Central Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.49M in client savings.",CONVENTIONAL_ONLY,0,10,80290.6,5620342,8029063,7390181
179,"Maritime & Baltic Shipmanagement","Rotterdam, Netherlands","Westerkade 7, 3016 CL Rotterdam, Netherlands","+31 10 774 7512","maritimeandbalt.com","Fleet Operations & Statutory Emissions Management","Director of Bunkering & Decarbonization","David Dupont (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",10,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33950,2450,0,415712,91.16,-2728.5,1752052,1927257,-8185.6,5256221,293.5,4003,622,1491857,60045,483299.5,81855,"With 10 vessels generating an annual FuelEU penalty exposure of €1.75M, Maritime & Baltic Shipmanagement can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.48M in client savings.",CONVENTIONAL_ONLY,0,10,79502.5,5565175,7950250,7317227
180,"Prime & Universal Carriers","Limassol, Cyprus","Christodoulou Chatzipavlou 205, 3036 Limassol, Cyprus","+357 25 783 9419","primeandunivers.com","Green Transition & Marine Fuels Desk","VP Commercial Marine Operations","Andreas Papadopoulos (Managing Director / Technical Superintendent)","Container Feeder / Short Sea",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",9,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33831,2376,0,413480,91.16,-2713.9,1742677,1916945,-8141.6,5227967,291.9,3982,618.7,1483847,59730,480713.5,81417,"With 9 vessels generating an annual FuelEU penalty exposure of €1.74M, Prime & Universal Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.48M in client savings.",CONVENTIONAL_ONLY,0,9,79077,5535390,7907704,7278067
181,"Marine & Imperial Steamship","Genoa / Naples, Italy","Piazza Dante 7, 16121 Genoa, Italy","+39 010 705 6259","marineandimperi.com","Green Transition & Marine Fuels Desk","VP Commercial Marine Operations","Kenji Weber (Managing Director / Technical Superintendent)","Dry Bulk Carrier",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33280,2736,0,411474,91.16,-2700.7,1734201,1907621,-8102.2,5202667,290.5,3962,615.7,1476671,59430,478375.5,81021,"With 8 vessels generating an annual FuelEU penalty exposure of €1.73M, Marine & Imperial Steamship can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.48M in client savings.",CONVENTIONAL_ONLY,0,8,78683.8,5507866,7868385,7242067
182,"Hanseatic & Pacific Lines","Rotterdam, Netherlands","Westerkade 7, 3016 CL Rotterdam, Netherlands","+31 10 700 6291","hanseaticandpac.com","Green Transition & Marine Fuels Desk","VP Commercial Marine Operations","Stavros Dupont (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",12,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30756,4716,0,406214,91.16,-2666.2,1712047,1883252,-7998.6,5136142,286.8,3912,607.8,1457767,58680,472264,79986,"With 12 vessels generating an annual FuelEU penalty exposure of €1.71M, Hanseatic & Pacific Lines can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.47M in client savings.",CONVENTIONAL_ONLY,0,12,77625.6,5433792,7762559,7145839
183,"Eastern & Great Carriers","Limassol, Cyprus","Makarios III Avenue 284, 3105 Limassol, Cyprus","+357 25 315 7866","easternandgreat.com","Commercial Operations & Compliance Group","Managing Director & Head of Fleet","David Moretti (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",10,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",32980,2440,0,404547,91.16,-2655.3,1705048,1875553,-7965.8,5115080,285.6,3896,605.3,1451808,58440,470333.5,79659,"With 10 vessels generating an annual FuelEU penalty exposure of €1.71M, Eastern & Great Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.47M in client savings.",CONVENTIONAL_ONLY,0,10,77365.7,5415599,7736568,7120647
184,"Trinity Trading & Shipping","Singapore, Singapore","Shenton Way 1, 068803 Singapore","+65 6 479 6972","trinitytradinga.com","Commercial Operations & Compliance Group","Manager of Fuel Compliance & ESG","Klaus Moretti (Managing Director / Technical Superintendent)","Chemical Tanker",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",11,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",31581,3696,0,403511,91.16,-2648.5,1700682,1870750,-7945.4,5101981,284.9,3886,603.8,1448092,58290,469129.5,79455,"With 11 vessels generating an annual FuelEU penalty exposure of €1.7M, Trinity Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.47M in client savings.",CONVENTIONAL_ONLY,0,11,77134.8,5399436,7713482,7100118
185,"Global Transport","London, United Kingdom","St Mary Axe 30, London EC3A 8EP, United Kingdom","+44 20 276 8292","globaltransport.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","Georgios Dupont (Managing Director / Technical Superintendent)","Chemical Tanker",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",14,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",32228,3066,0,403407,91.16,-2647.8,1700232,1870255,-7943.3,5100632,284.8,3885,603.6,1447707,58275,469005,79434,"With 14 vessels generating an annual FuelEU penalty exposure of €1.7M, Global Transport can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.47M in client savings.",CONVENTIONAL_ONLY,0,14,77131.3,5399191,7713132,7099423
186,"Maritime & Astra Lines","Istanbul, Turkey","Kadikoy Sahil Yolu 18, 34710 Istanbul, Turkey","+90 216 885 4138","maritimeandastr.com","Green Transition & Marine Fuels Desk","Senior Fuel Trader & Offtake Manager","Chen Fischer (Managing Director / Technical Superintendent)","Ro-Ro & Car Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Ambarli, Tuzla, Augusta, Trieste",11,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",32989,2189,0,401672,91.16,-2636.4,1692912,1862203,-7909.1,5078672,283.6,3868,601,1441492,58020,466986,79092,"With 11 vessels generating an annual FuelEU penalty exposure of €1.69M, Maritime & Astra Lines can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.47M in client savings.",CONVENTIONAL_ONLY,0,11,76822,5377540,7682199,7070452
187,"Central Holdings","Oslo / Bergen, Norway","Kirkegata 24, 0153 Oslo, Norway","+47 55 669 9788","centralholdings.com","Fleet Operations & Statutory Emissions Management","Head of Marine Fuel Procurement","Andreas Ferrari (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",12,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30684,4284,0,400270,91.16,-2627.2,1687004,1855704,-7881.5,5060949,282.6,3854,598.9,1436494,57810,465356,78816,"With 12 vessels generating an annual FuelEU penalty exposure of €1.69M, Central Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.47M in client savings.",CONVENTIONAL_ONLY,0,12,76499.1,5354937,7649915,7041941
188,"Union & Ocean Services","Athens / Piraeus, Greece","Kifisias Avenue 215, 15124 Marousi, Greece","+30 210 651 5991","unionandoceanse.com","Bunkering, Chartering & Decarbonization Division","Manager of Fuel Compliance & ESG","Philippe van Dijk (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",11,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",29491,5368,0,399540,91.16,-2622.4,1683922,1852314,-7867.2,5051766,282.1,3847,597.8,1433867,57705,464506,78672,"With 11 vessels generating an annual FuelEU penalty exposure of €1.68M, Union & Ocean Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,11,76331.4,5343198,7633136,7027120
189,"Alpha & Eastern Trading & Shipping","Hamburg, Germany","Teerhof 59, 28199 Bremen, Germany","+49 40 737 2602","alphaandeastern.com","Bunkering, Chartering & Decarbonization Division","Director of Bunkering & Decarbonization","Philippe de Jong (Managing Director / Technical Superintendent)","Chemical Tanker",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",32952,2032,0,399388,91.16,-2621.4,1683280,1851608,-7864.2,5049840,282,3846,597.6,1433290,57690,464329,78642,"With 8 vessels generating an annual FuelEU penalty exposure of €1.68M, Alpha & Eastern Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,8,76389,5347230,7638897,7030510
190,"Vector Maritime","Limassol, Cyprus","Omonoias Avenue 140, 3045 Limassol, Cyprus","+357 25 710 3010","vectormaritime.com","Bunkering, Chartering & Decarbonization Division","Technical Fleet Director","Dimitrios Dupont (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",33384,1616,0,399374,91.16,-2621.3,1683216,1851538,-7863.9,5049647,282,3846,597.6,1433226,57690,464311.5,78639,"With 8 vessels generating an annual FuelEU penalty exposure of €1.68M, Vector Maritime can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,8,76397.1,5347797,7639709,7031013
191,"Royal Fleet Management","London, United Kingdom","Fenchurch Street 150, London EC3M 6BB, United Kingdom","+44 20 646 1916","royalfleetmanag.com","Green Transition & Marine Fuels Desk","Managing Director & Head of Fleet","Henrik Fischer (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",14,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30940,3864,0,398204,91.16,-2613.6,1678271,1846098,-7840.9,5034878,281.1,3834,595.8,1429061,57510,462947,78408,"With 14 vessels generating an annual FuelEU penalty exposure of €1.68M, Royal Fleet Management can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,14,76114.6,5328022,7611457,7006293
192,"Marine & Vector Services","Limassol, Cyprus","Makarios III Avenue 284, 3105 Limassol, Cyprus","+357 25 202 3820","marineandvector.com","Fleet Operations & Statutory Emissions Management","VP Commercial Marine Operations","David Rossi (Managing Director / Technical Superintendent)","Ro-Ro & Car Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",10,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",31420,3330,0,397336,91.16,-2607.9,1674611,1842072,-7823.8,5023898,280.5,3826,594.5,1425921,57390,461937.5,78237,"With 10 vessels generating an annual FuelEU penalty exposure of €1.67M, Marine & Vector Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,10,75962.5,5317375,7596253,6991986
193,"Sea & Olympia Marine","Hamburg, Germany","Palmaille 67, 22767 Hamburg, Germany","+49 40 404 4446","seaandolympiama.com","Fleet Operations & Statutory Emissions Management","Senior Fuel Trader & Offtake Manager","Georgios Schmidt (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",11,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",31306,3344,0,396204,91.16,-2600.5,1669859,1836845,-7801.5,5009578,279.7,3815,592.9,1421884,57225,460626.5,78015,"With 11 vessels generating an annual FuelEU penalty exposure of €1.67M, Sea & Olympia Marine can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,11,75745.4,5302178,7574539,6972037
194,"Trinity & Central Maritime","Singapore, Singapore","Shenton Way 1, 068803 Singapore","+65 6 436 1024","trinityandcentr.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Alexander Mavros (Managing Director / Technical Superintendent)","Crude & Product Tanker",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",12,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",28572,5808,0,394293,91.16,-2587.9,1661769,1827946,-7763.8,4985370,278.4,3797,590,1414964,56955,458395.5,77637,"With 12 vessels generating an annual FuelEU penalty exposure of €1.66M, Trinity & Central Maritime can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.46M in client savings.",CONVENTIONAL_ONLY,0,12,75315.6,5272092,7531559,6933861
195,"Nordic Transport","Copenhagen, Denmark","Amerika Plads 38, 2100 Copenhagen, Denmark","+45 39 953 5139","nordictransport.com","Green Transition & Marine Fuels Desk","Head of Marine Fuel Procurement","Klaus Wang (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",32232,1928,0,389955,91.16,-2559.5,1643532,1807885,-7678.4,4930532,275.3,3755,583.5,1399457,56325,453364.5,76785,"With 8 vessels generating an annual FuelEU penalty exposure of €1.64M, Nordic Transport can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.45M in client savings.",CONVENTIONAL_ONLY,0,8,74586.1,5221027,7458612,6864559
196,"Island & Central Fleet Management (Genoa)","Genoa / Naples, Italy","Via San Bartolomeo degli Armeni 5, 16122 Genoa, Italy","+39 010 541 9061","islandandcentra.com","Marine Fuel Procurement & Energy Transition Desk","Manager of Fuel Compliance & ESG","Andreas Hansen (Managing Director / Technical Superintendent)","Dry Bulk Carrier",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",9,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",31014,2979,0,388549,91.16,-2550.3,1637625,1801388,-7650.8,4912809,274.3,3742,581.4,1394395,56130,451735.5,76509,"With 9 vessels generating an annual FuelEU penalty exposure of €1.64M, Island & Central Fleet Management (Genoa) can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.45M in client savings.",CONVENTIONAL_ONLY,0,9,74289.8,5200286,7428981,6837911
197,"Cosmos Holdings","Athens / Piraeus, Greece","Leoforos Poseidonos 32, 16674 Glyfada, Greece","+30 210 910 3830","cosmosholdings.com","Green Transition & Marine Fuels Desk","Director of Bunkering & Decarbonization","Andreas Moretti (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",9,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30924,3033,0,388165,91.16,-2547.7,1635955,1799551,-7643.2,4907929,274.1,3738,580.8,1392985,56070,451274.5,76431,"With 9 vessels generating an annual FuelEU penalty exposure of €1.64M, Cosmos Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.45M in client savings.",CONVENTIONAL_ONLY,0,9,74214.8,5195036,7421477,6830991
198,"Marine Services","Rotterdam, Netherlands","Handelskade 1, 9934 AA Delfzijl, Netherlands","+31 10 889 9843","marineservices.com","Marine Fuel Procurement & Energy Transition Desk","Senior Fuel Trader & Offtake Manager","Dimitrios Taylor (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",14,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",29624,4214,0,387367,91.16,-2542.5,1632616,1795878,-7627.5,4897848,273.5,3730,579.6,1390166,55950,450353.5,76275,"With 14 vessels generating an annual FuelEU penalty exposure of €1.63M, Marine Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.45M in client savings.",CONVENTIONAL_ONLY,0,14,74031.4,5182198,7403144,6814814
199,"Atlantic & Nordic Fleet Management","Singapore, Singapore","Anson Road 10, 079903 Singapore","+65 6 743 1045","atlanticandnord.com","Green Transition & Marine Fuels Desk","VP Commercial Marine Operations","Matteo Schmidt (Managing Director / Technical Superintendent)","Crude & Product Tanker",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",29920,3896,0,386966,91.16,-2539.9,1630946,1794041,-7619.6,4892775,273.2,3726,579,1388756,55890,449892.5,76197,"With 8 vessels generating an annual FuelEU penalty exposure of €1.63M, Atlantic & Nordic Fleet Management can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.45M in client savings.",CONVENTIONAL_ONLY,0,8,73963,5177410,7396305,6808356
200,"Union & Cosmos Maritime","Singapore, Singapore","Anson Road 10, 079903 Singapore","+65 6 410 3675","unionandcosmosm.com","Commercial Operations & Compliance Group","Director of Bunkering & Decarbonization","Lars Weber (Managing Director / Technical Superintendent)","Crude & Product Tanker",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",10,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30910,2670,0,383700,91.16,-2518.4,1617141,1778855,-7555.3,4851486,270.9,3695,574.1,1376966,55425,446085,75552,"With 10 vessels generating an annual FuelEU penalty exposure of €1.62M, Union & Cosmos Maritime can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.45M in client savings.",CONVENTIONAL_ONLY,0,10,73369.7,5135879,7336966,6753020
201,"Ocean & Atlantic Shipping","Oslo / Bergen, Norway","Dronning Eufemias gate 8, 0191 Oslo, Norway","+47 55 507 2448","oceanandatlanti.com","Fleet Operations & Statutory Emissions Management","Director of Bunkering & Decarbonization","Matteo Ferrari (Managing Director / Technical Superintendent)","Passenger / Ro-Pax Ferry",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",31440,2032,0,382168,91.16,-2508.4,1610719,1771791,-7525.1,4832094,269.8,3680,571.9,1371519,55200,444313,75252,"With 8 vessels generating an annual FuelEU penalty exposure of €1.61M, Ocean & Atlantic Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.44M in client savings.",CONVENTIONAL_ONLY,0,8,73093.2,5116524,7309316,6727243
202,"Golden Shipmanagement","Athens / Piraeus, Greece","Leoforos Poseidonos 32, 16674 Glyfada, Greece","+30 210 319 9834","goldenshipmanag.com","Green Transition & Marine Fuels Desk","Manager of Fuel Compliance & ESG","Klaus Smith (Managing Director / Technical Superintendent)","Ro-Ro & Car Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",31240,2168,0,381504,91.16,-2504,1607894,1768683,-7512,4823682,269.4,3674,570.9,1369084,55110,443534,75120,"With 8 vessels generating an annual FuelEU penalty exposure of €1.61M, Golden Shipmanagement can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.44M in client savings.",CONVENTIONAL_ONLY,0,8,72962.4,5107368,7296240,6715262
203,"Blue Transport","Genoa / Naples, Italy","Via San Bartolomeo degli Armeni 5, 16122 Genoa, Italy","+39 010 305 3275","bluetransport.com","Fleet Operations & Statutory Emissions Management","Head of Marine Fuel Procurement","Henrik Hansen (Managing Director / Technical Superintendent)","Container Feeder / Short Sea",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",9,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",29520,3690,0,379968,91.16,-2493.9,1601408,1761549,-7481.8,4804289,268.3,3659,568.5,1363573,54885,441744.5,74817,"With 9 vessels generating an annual FuelEU penalty exposure of €1.6M, Blue Transport can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.44M in client savings.",CONVENTIONAL_ONLY,0,9,72628.8,5084016,7262878,6685424
204,"Liberty & Alpha Fleet Management","Limassol, Cyprus","Makarios III Avenue 284, 3105 Limassol, Cyprus","+357 25 657 8244","libertyandalpha.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Philippe Weber (Managing Director / Technical Superintendent)","Container Feeder / Short Sea",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",12,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",28812,4272,0,378807,91.16,-2486.3,1596528,1756181,-7458.9,4789585,267.4,3648,566.8,1359408,54720,440398.5,74589,"With 12 vessels generating an annual FuelEU penalty exposure of €1.6M, Liberty & Alpha Fleet Management can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.44M in client savings.",CONVENTIONAL_ONLY,0,12,72391.6,5067412,7239162,6663940
205,"Marine Trading & Shipping","Genoa / Naples, Italy","Via Fieschi 8, 16121 Genoa, Italy","+39 010 632 6624","marinetradingan.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Nikos Tanaka (Managing Director / Technical Superintendent)","Chemical Tanker",WEST_MED,INTRA_EU_FEEDER,"Genoa, Naples, Trieste, Livorno, Augusta",10,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30660,2470,0,378480,91.16,-2484.2,1595180,1754698,-7452.5,4785475,267.2,3645,566.3,1358255,54675,440027,74526,"With 10 vessels generating an annual FuelEU penalty exposure of €1.6M, Marine Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.44M in client savings.",CONVENTIONAL_ONLY,0,10,72375.9,5066313,7237587,6661493
206,"Western & United Services","Hamburg, Germany","Am Sandtorkai 77, 20457 Hamburg, Germany","+49 40 604 5501","westernandunite.com","Bunkering, Chartering & Decarbonization Division","Managing Director & Head of Fleet","Aris de Jong (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",8,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",30200,2720,0,376207,91.16,-2469.2,1585548,1744103,-7407.7,4756708,265.6,3623,562.9,1350053,54345,437370,74076,"With 8 vessels generating an annual FuelEU penalty exposure of €1.59M, Western & United Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.44M in client savings.",CONVENTIONAL_ONLY,0,8,71934.2,5035394,7193417,6620942
